filename,aspect_ratio,size,prompt
Saheeb-drive-card.png,3:2,1200x800,"Night photograph of a modern highway along the Omani coast — shot from a car or low vantage point. Long exposure creating smooth warm amber light trails from vehicles. The road curves along a dark mountainside with the Gulf of Oman visible as a dark expanse to one side. Distant city lights as small warm dots on the horizon. Deep navy-black sky. Color grading: very dark, desaturated, warm amber only from headlights/taillights. Cinematic, moody, aspirational. No text, no labels, no digital overlays. 1200x800 landscape."
saheeb-drive-hero.png,3:2,1200x800,"Interior of a premium modern car showroom at night — minimal, architectural space with clean lines. Dark polished concrete or stone floor reflecting ambient light. One or two luxury vehicles displayed under focused warm spotlights, everything else falls into darkness. High ceiling with subtle architectural lighting. The space feels like a gallery, not a dealership. Color grading: near-black environment, focused warm amber spots on vehicles, clean and minimal. Architectural interior photography. No holographic AI faces, no digital overlays, no text. Premium automotive brand campaign imagery. 1200x800 landscape."
saheeb-drive-hero-bg.png,16:9,2560x1440,"Wide aerial photograph of a Muscat highway interchange at blue hour — the complex curves of the road infrastructure creating geometric patterns when viewed from above. Long exposure light trails in warm amber tracing the road curves. Mountains visible as dark silhouettes. The urban landscape spreading into the distance with scattered warm lights. Color grading: deep navy-black sky, dark landscape, warm amber light trails as the primary visual element. Drone/aerial photography perspective. Cinematic, wide. No text, no digital overlays. 2560x1440 landscape."
saheeb-drive-app-chat.png,9:19.5,390x844,"UI mockup of a modern mobile app — dark theme car marketplace search interface. Top: minimal search bar with user message in Arabic asking about family SUVs. Below: clean card layout showing 3 matched vehicles (Toyota Land Cruiser, Nissan Patrol, Lexus LX) with prices in OMR. Cards have clean photography of the cars, subtle rounded corners, price badges. Top match has a subtle warm accent indicator. Background: #09090B. Cards: #111113 with #222225 borders. Text: near-white (#EDEDEF) with #8F8F96 secondary text. Accent highlights in #C9A87C. iOS-style status bar at top. Clean, minimal, no clutter. Modern mobile UI design. 390x844 portrait."
saheeb-drive-app-details.png,9:19.5,390x844,"UI mockup of a modern mobile app — dark theme car details screen. Top: high quality photo of a white Toyota Land Cruiser. Below: clean layout showing price (4,850 OMR) in large text, Fair Price badge in subtle green. AI Analysis section with a clean circular score indicator (94/100) in warm accent color. Bullet points with check icons: price analysis, seller verification, service history. Seller info card below with rating stars. Two CTA buttons at bottom: Message Seller (outlined) and Schedule Viewing (warm accent fill). Background: #09090B. Cards: #111113 with #222225 borders. Accent: #C9A87C. Modern, minimal dark UI. 390x844 portrait."
ai-search-feature.png,3:2,1200x800,"Overhead photograph of a smartphone lying on a dark surface — the screen shows a minimal search interface with a blurred/abstract result. The phone creates a subtle warm glow on the dark surface beneath it. Beside the phone: car keys and perhaps the edge of a coffee cup, barely visible in the shadows. Moody, editorial product photography. Color grading: near-black environment, phone screen as primary light source with warm tone. Shallow depth of field — phone sharp, surroundings soft. No 3D wireframe cars, no holographic effects, no network visualization. 1200x800 landscape."
end-to-end-journey.png,12:5,1920x800,"Split composition of 4 connected minimal photographs in a horizontal strip — each representing a step in a car buying journey: (1) hands holding a smartphone browsing, (2) person viewing a car in a well-lit showroom, (3) two people shaking hands or signing a document, (4) a car key being handed over. All shot in the same visual style: dark, moody, warm amber highlights. Connected by a subtle warm-toned line or gradient strip flowing between them. Each image desaturated with warm accent lighting. Cinematic, sequential, editorial. Oman-appropriate attire where people are visible. No text labels, no circular frames, no gold swooshes. 1920x800 wide landscape."
anti-fraud-system.png,3:2,1200x800,"Close-up photograph of a car VIN plate or identification number — dramatic macro photography showing the stamped metal numbers with sharp focus and directional warm light. The rest of the car body falls into dark shadow. The metallic surface reflects warm amber light. Conveys verification, authentication, identity — without skulls, lightning, or sci-fi shields. Color grading: dark, warm metallic highlights, sharp detail. Automotive detail photography. No digital overlays, no red warning graphics, no circuit board backgrounds. 1200x800 landscape."
trust-verification.png,3:2,1200x800,"Photograph of an official document or certificate on a dark surface — perhaps a vehicle registration or inspection certificate with an official stamp/seal partially visible. Warm directional lighting illuminating the document against a near-black desk. A pen beside it. The document is cream/white creating contrast against the dark environment. Shallow depth of field — only part of the document is in focus. Conveys official verification, bureaucratic trust, documentation. Color grading: warm, desaturated, dark. Editorial still life. No shield icons, no holographic cars, no CERTIFIED SAFE badges. 1200x800 landscape."
saheeb-project-hero.png,16:9,2560x1440,"Night photograph of Muscat from an elevated vantage point — a wide view showing the urban landscape spread across the coastal plain between mountains and sea. Scattered warm lights from buildings and streets create a constellation-like pattern across the dark terrain. The sky is clear and dark. Mountains form dark borders on the edges. No highways in focus, just the city at rest. Color grading: very dark, desaturated, warm amber dots of light against near-black. Quiet, expansive, contemplative. Aerial or hilltop photography. No text, no digital overlays. 2560x1440 landscape."
og-image.png,1.91:1,1200x630,"Clean, minimal branded image — dark background (#09090B) with a small logo mark (warm sand colored rounded square with abstract arc and dot symbol) positioned left of center. Saheeb written in clean bold modern sans-serif white text. Below in smaller text, the tagline in warm sand color (#C9A87C): Technology for Omans future. No gradients, no glows, no circuit patterns. Just the mark, the name, the tagline. Ample negative space. Minimal and sophisticated like a premium tech company social card. 1200x630 landscape."
